Chromosome/scaffold name	Transcript end (bp)	Strand
GL002604.1	31330	1
GL002604.1	31311	-1
GL002604.1	393992	1
GL002604.1	416954	1
GL002604.1	443071	1
GL002604.1	542095	-1
GL002604.1	549110	1
GL002604.1	560417	-1
GL002604.1	570950	1
GL002604.1	576295	-1
GL002604.1	786706	1
GL002604.1	1128472	1
GL002604.1	1328244	-1
GL002604.1	1527442	-1
GL002604.1	1618156	1
GL002604.1	1700788	-1
GL002604.1	1706175	1
GL002604.1	1707703	1
GL002604.1	1822824	1
GL002604.1	1980562	1
GL002604.1	2013012	1
GL002604.1	2195667	-1
GL002604.1	2200449	-1
GL002604.1	2211594	-1
GL002604.1	2349087	-1
GL002604.1	2359239	1
GL002604.1	2367248	-1
GL002604.1	2668266	1
GL002604.1	3211306	1
GL002604.1	3212366	-1
GL002604.1	4705433	1
GL002604.1	4711195	1
GL002604.1	4886996	-1
GL002604.1	4902627	-1
GL002604.1	5712280	-1
GL002604.1	5724642	-1
GL002604.1	5727428	-1
GL002604.1	5731410	1
GL002604.1	5991932	1
GL002604.1	6000843	1
GL002604.1	6003931	1
GL002604.1	7334937	-1
GL002604.1	7336618	-1
GL002604.1	7826845	1
GL002604.1	8281617	-1
GL002604.1	8598703	-1
GL002604.1	8720612	-1
GL002605.1	53633	1
GL002605.1	182320	-1
GL002605.1	259447	1
GL002605.1	264868	1
GL002605.1	332144	1
GL002605.1	341009	-1
GL002605.1	364064	1
GL002605.1	433483	1
GL002605.1	691058	-1
GL002605.1	974159	1
GL002605.1	982867	1
GL002605.1	987730	-1
GL002605.1	1496113	1
GL002605.1	1507101	1
GL002605.1	2727541	-1
GL002605.1	2755413	-1
GL002605.1	2755992	1
GL002605.1	2768015	-1
GL002605.1	3469324	1
GL002605.1	3553089	1
GL002605.1	3717522	-1
GL002605.1	4105239	1
GL002605.1	4114495	1
GL002605.1	4116102	-1
GL002605.1	4167616	-1
GL002605.1	4178870	1
GL002605.1	4204798	1
GL002605.1	4199656	-1
GL002605.1	4349607	1
GL002605.1	4357541	-1
GL002605.1	4355967	1
GL002605.1	4359614	1
GL002605.1	4673822	1
GL002605.1	4755313	-1
GL002605.1	4763850	-1
GL002605.1	4773089	1
GL002605.1	4769088	-1
GL002605.1	6197598	-1
GL002605.1	6198525	-1
GL002605.1	7306823	-1
GL002606.1	44774	1
GL002606.1	92951	1
GL002606.1	122696	-1
GL002606.1	207956	1
GL002606.1	363269	-1
GL002606.1	363711	1
GL002606.1	582787	1
GL002606.1	629209	1
GL002606.1	631729	1
GL002606.1	651282	1
GL002606.1	687449	-1
GL002606.1	691331	-1
GL002606.1	735355	1
GL002606.1	790366	-1
GL002606.1	815441	-1
GL002606.1	841806	1
GL002606.1	852747	-1
GL002606.1	919969	-1
GL002606.1	1369884	1
GL002606.1	1597210	1
GL002606.1	1802384	-1
GL002606.1	1794182	1
GL002606.1	1946378	-1
GL002606.1	1983522	-1
GL002606.1	2039174	-1
GL002606.1	2040094	-1
GL002606.1	2061020	-1
GL002606.1	2477707	1
GL002606.1	2568581	1
GL002606.1	2573989	-1
GL002606.1	2607154	1
GL002606.1	2740645	-1
GL002606.1	2741888	1
GL002606.1	2744092	1
GL002606.1	2798855	-1
GL002606.1	3135426	1
GL002606.1	3295877	1
GL002606.1	3298437	1
GL002606.1	3311392	1
GL002606.1	4454648	-1
GL002606.1	4456435	-1
GL002606.1	4475595	-1
GL002606.1	4496457	-1
GL002606.1	4511586	1
GL002606.1	4831587	-1
GL002606.1	4940307	1
GL002606.1	5431091	1
GL002606.1	5535731	-1
GL002606.1	5565752	-1
GL002606.1	5583116	1
GL002606.1	5584150	1
GL002606.1	5914398	-1
GL002606.1	6259353	1
GL002606.1	6315540	1
GL002606.1	6877450	1
GL002606.1	6930315	-1
GL002606.1	7075877	1
GL002607.1	468819	-1
GL002607.1	669670	-1
GL002607.1	987176	-1
GL002607.1	1014206	1
GL002607.1	1008636	-1
GL002607.1	1021206	-1
GL002607.1	1221483	1
GL002607.1	1339908	-1
GL002607.1	1614140	1
GL002607.1	1619094	1
GL002607.1	1835600	1
GL002607.1	2513347	1
GL002607.1	2516743	-1
GL002607.1	2526569	-1
GL002607.1	2536464	1
GL002607.1	2541201	1
GL002607.1	2827274	-1
GL002607.1	2828553	-1
GL002607.1	2845036	1
GL002607.1	2954007	-1
GL002607.1	2964884	1
GL002607.1	2976615	-1
GL002607.1	3091034	-1
GL002607.1	3836890	1
GL002608.1	282838	-1
GL002608.1	755087	-1
GL002608.1	1024899	1
GL002608.1	1099028	-1
GL002608.1	2958801	-1
GL002608.1	3267519	1
GL002609.1	17372	1
GL002609.1	33382	-1
GL002609.1	36219	1
GL002609.1	241418	-1
GL002609.1	236116	-1
GL002609.1	622580	1
GL002609.1	1169602	1
GL002609.1	1294053	-1
GL002609.1	1536320	1
GL002609.1	1918824	-1
GL002610.1	15447	1
GL002610.1	70444	1
GL002610.1	165135	1
GL002610.1	175127	1
GL002610.1	184136	1
GL002610.1	193033	1
GL002610.1	226514	1
GL002610.1	626558	-1
GL002610.1	765431	-1
GL002610.1	1040126	-1
GL002611.1	680926	1
GL002611.1	1263154	-1
GL002613.1	17616	-1
GL002613.1	146976	-1
GL002613.1	171756	-1
GL002613.1	194784	-1
GL002613.1	205720	-1
GL002613.1	211891	1
GL002613.1	312020	-1
GL002613.1	313960	1
GL002613.1	329752	-1
GL002613.1	337460	1
GL002613.1	338951	-1
GL002613.1	341704	1
GL002613.1	368210	-1
GL002613.1	488805	-1
GL002613.1	494740	1
GL002613.1	581868	1
GL002613.1	624210	-1
GL002613.1	689527	1
GL002613.1	692087	-1
GL002613.1	694643	1
GL002613.1	707377	-1
GL002613.1	781812	1
GL002613.1	790723	1
GL002613.1	794706	1
GL002613.1	799876	1
GL002614.1	107555	-1
GL002614.1	118360	-1
GL002614.1	190766	-1
GL002618.1	290258	1
GL002618.1	359921	1
GL002650.1	35595	1
GL002651.1	14695	1
GL002651.1	19036	1
GL002651.1	77163	1
GL002656.1	8431	-1
GL002661.1	4318	-1
GL002661.1	31305	-1
GL002661.1	32642	-1
GL002661.1	47769	-1
GL002661.1	69133	1
GL002661.1	73552	1
GL002661.1	78622	1
GL002661.1	91020	1
GL002661.1	93430	-1
GL002663.1	117428	1
GL002663.1	128773	1
GL002664.1	35487	1
GL002667.1	1976	1
GL002667.1	9822	1
GL002667.1	14241	1
GL002667.1	22093	1
GL002667.1	31925	1
GL002667.1	44517	1
GL002669.1	23535	1
GL002682.1	7911	1
GL002682.1	33879	-1
GL002682.1	65358	-1
GL002682.1	79541	1
GL002684.1	65138	-1
GL002693.1	29530	-1
GL002693.1	51273	-1
GL002695.1	21737	1
GL002695.1	51812	-1
GL002705.1	49561	-1
GL002705.1	52300	-1
GL002706.1	16466	1
GL002712.1	17094	1
GL002713.1	42825	1
GL002714.1	5646	-1
GL002714.1	21417	-1
GL002714.1	28291	1
GL002714.1	33433	-1
GL002719.1	10297	1
GL002719.1	18900	1
GL002719.1	24375	-1
GL002733.1	6841	-1
GL002733.1	11195	1
GL002733.1	16557	-1
GL002733.1	28137	-1
GL002763.1	643	1
GL002763.1	7957	1
GL002763.1	22127	1
GL002770.1	10543	1
GL002771.1	9036	1
GL002777.1	1919	-1
GL002777.1	7626	-1
GL002777.1	15765	-1
GL002777.1	18103	1
GL002780.1	9634	1
GL002780.1	18335	1
GL002781.1	2678	-1
GL002781.1	14724	-1
GL002793.1	8125	-1
GL002793.1	13125	-1
1	2829	1
1	14814	-1
1	42442	-1
1	63495	1
1	69514	-1
1	78960	-1
1	81660	1
1	107334	1
1	112514	-1
1	116051	1
1	136465	-1
1	155581	1
1	162151	-1
1	167954	-1
1	183719	-1
1	205207	1
1	213606	1
1	220331	1
1	247132	1
1	255065	-1
1	259971	1
1	260729	1
1	264081	-1
1	276458	1
1	282613	1
1	285947	1
1	285947	1
1	286255	1
1	286296	1
1	298468	1
1	299952	-1
1	306353	1
1	311335	1
1	337798	1
1	343588	1
1	345871	1
1	360187	1
1	368612	-1
1	378342	-1
1	381033	1
1	384596	1
1	398779	1
1	399792	-1
1	410929	1
1	411989	1
1	415242	-1
1	418318	1
1	422582	1
