Chromosome/scaffold name	Transcript start (bp)	Strand
GL002604.1	28648	1
GL002604.1	30837	-1
GL002604.1	392216	1
GL002604.1	416657	1
GL002604.1	442514	1
GL002604.1	541173	-1
GL002604.1	546502	1
GL002604.1	559587	-1
GL002604.1	569242	1
GL002604.1	571420	-1
GL002604.1	780428	1
GL002604.1	1126373	1
GL002604.1	1327488	-1
GL002604.1	1526780	-1
GL002604.1	1613709	1
GL002604.1	1699901	-1
GL002604.1	1703364	1
GL002604.1	1707275	1
GL002604.1	1807207	1
GL002604.1	1979893	1
GL002604.1	2008303	1
GL002604.1	2193918	-1
GL002604.1	2199587	-1
GL002604.1	2211194	-1
GL002604.1	2348702	-1
GL002604.1	2352517	1
GL002604.1	2357087	-1
GL002604.1	2664755	1
GL002604.1	3208293	1
GL002604.1	3211788	-1
GL002604.1	4704120	1
GL002604.1	4706412	1
GL002604.1	4886645	-1
GL002604.1	4902102	-1
GL002604.1	5710533	-1
GL002604.1	5721018	-1
GL002604.1	5725509	-1
GL002604.1	5730827	1
GL002604.1	5991039	1
GL002604.1	5999821	1
GL002604.1	6002533	1
GL002604.1	7334652	-1
GL002604.1	7336304	-1
GL002604.1	7826462	1
GL002604.1	8272751	-1
GL002604.1	8597428	-1
GL002604.1	8719786	-1
GL002605.1	52658	1
GL002605.1	181340	-1
GL002605.1	253606	1
GL002605.1	264239	1
GL002605.1	327976	1
GL002605.1	340722	-1
GL002605.1	362632	1
GL002605.1	431629	1
GL002605.1	687618	-1
GL002605.1	967873	1
GL002605.1	979653	1
GL002605.1	982905	-1
GL002605.1	1491402	1
GL002605.1	1504100	1
GL002605.1	2727394	-1
GL002605.1	2752871	-1
GL002605.1	2755436	1
GL002605.1	2761585	-1
GL002605.1	3465946	1
GL002605.1	3552566	1
GL002605.1	3717103	-1
GL002605.1	4104904	1
GL002605.1	4113504	1
GL002605.1	4115700	-1
GL002605.1	4166735	-1
GL002605.1	4169105	1
GL002605.1	4197709	1
GL002605.1	4198805	-1
GL002605.1	4347485	1
GL002605.1	4355432	-1
GL002605.1	4352069	1
GL002605.1	4359115	1
GL002605.1	4673338	1
GL002605.1	4751194	-1
GL002605.1	4763453	-1
GL002605.1	4768095	1
GL002605.1	4768819	-1
GL002605.1	6197136	-1
