#Tss of all genes are sorted based on their expression levels (FPKM) from low to high, Every set should have 3185 genes if divided into five sets.
#Chr Position Strand 
7 3091879 1
2 14833915 1
8 118579 1
5 5414341 1
4 53817619 1
1 68198134 -1
1 60489466 -1
3 47235288 1
3 69289675 1
5 60963661 1
3 67459017 1
7 60462215 1
1 58889708 -1
7 9520275 1
4 62855877 -1
6 49314403 1
2 69927397 1
4 5831750 -1
4 60615223 1
10 1314321 -1
3 6677015 -1
6 60982371 1
10 54989325 1
7 5829871 1
10 4471676 -1
3 1968451 1
9 56803617 -1
1 22082875 1
4 554666 1
6 48306670 1
4 64375650 -1
8 53588672 1
5 48512790 1
2 68655063 1
3 17340069 1
6 61287289 -1
3 72590179 -1
1 71864243 -1
4 58615972 1
9 54707534 -1
3 70140720 1
5 12934413 1
5 60372348 1
1 61694269 1
2 73175104 1
5 6111494 -1
9 56589018 1
2 58667536 1
3 45563285 1
1 18159281 1
3 4862499 1
6 34261753 -1
3 54830826 1
8 54361375 -1
8 54004341 -1
3 10868811 -1
1 1779775 -1
2 18052196 1
3 45547513 1
4 50648745 -1
5 58998504 -1
1 69111988 -1
6 49406567 -1
2 23195030 1
3 2960995 -1
2 68568768 1
10 4022321 -1
3 64605588 1
7 6498160 1
8 5467097 1
2 61457614 1
3 9915713 -1
1 42380773 1
9 46734454 1
7 4205370 1
3 56145389 -1
2 57987706 -1
1 1475109 1
4 65045558 -1
6 58530221 1
6 61847469 1
9 53935563 -1
9 58186320 1
1 21196404 -1
2 4283726 1
9 55550526 1
1 58947656 1
4 60469128 1
5 638380 1
8 53989861 -1
1 1522530 -1
10 2961157 1
3 60807701 -1
3 9410929 1
7 7744997 -1
1 46017784 -1
4 1118592 1
3 61524647 1
7 63562263 1
5 61505660 1
8 2833560 -1
3 65666888 1
10 53049733 -1
2 60678719 -1
7 59902239 -1
8 454813 -1
9 54170390 -1
10 59216362 -1
1 26198475 1
10 60343678 1
9 139827 1
10 1216149 -1
1 71539130 1
3 59208246 -1
3 67626538 1
10 6845277 1
1 3055623 1
5 1319172 -1
1 70010275 -1
1 67540436 -1
7 5318130 1
6 60280433 -1
10 3240412 1
10 57176070 -1
4 57029324 -1
4 12355789 1
7 4826201 1
6 61485340 1
4 2554678 -1
2 57158259 -1
9 517802 1
4 37946376 1
3 56994773 -1
3 55527149 -1
5 58825768 -1
7 55341432 -1
6 61015381 -1
10 53762645 -1
7 15992471 1
7 5577850 -1
10 47940298 -1
3 68618945 -1
4 37956935 -1
1 581169 -1
1 217569 1
4 2137965 1
5 52259565 -1
2 67072202 1
9 56612546 1
2 518455 1
3 17404043 1
6 2730781 -1
4 53762991 -1
6 7760118 -1
3 57331086 1
6 38139871 1
6 40193736 1
4 67135954 1
4 595554 -1
10 56256657 -1
3 3526551 -1
6 57264867 1
5 25897142 1
7 62203488 -1
5 8132995 -1
9 6892977 -1
8 3108327 -1
4 3607828 -1
1 62210763 1
7 60367897 1
4 63704755 -1
5 61588226 1
10 2772649 1
2 50018720 1
1 61096391 1
6 57264894 1
7 62699481 -1
1 5690711 1
5 1528364 -1
2 17553916 -1
9 54644172 -1
4 7146668 -1
2 795115 -1
7 62289335 -1
10 3096418 -1
5 18194773 1
5 1865248 1
5 2074301 1
4 59842056 -1
8 40168488 1
2 69723044 1
1 62269166 -1
1 65371333 1
2 17365349 -1
9 58766620 1
1 3833916 1
9 2705051 1
7 60948505 -1
1 64027845 1
3 69728480 -1
1 64178595 -1
3 3561484 1
9 52385052 -1
2 18548968 -1
2 61971144 1
3 11047414 1
8 53244953 -1
8 45634917 -1
1 16677077 1
5 748341 1
6 50173815 -1
1 1568213 -1
1 72211052 1
1 1546049 1
4 63790566 1
1 16631830 1
8 2010176 1
9 10454826 1
1 62735605 -1
7 60212195 1
2 14848240 -1
1 2534073 1
5 62208357 1
4 9821165 -1
3 73778582 -1
7 57977647 1
5 12111936 1
1 71841499 1
7 3575557 1
9 1798897 1
7 63980575 1
8 6639697 1
6 49362511 1
1 7263617 1
5 60158986 1
3 8329142 -1
9 45519900 1
1 1844701 -1
10 59398202 1
9 57606255 -1
2 57590091 -1
5 3083808 1
7 376128 1
4 64721667 1
1 5040251 1
