Transcript start (bp)	Chromosome/scaffold name	Transcript end (bp)	Strand	Gene start (bp)	Gene end (bp)
28648	GL002604.1	31330	1	28648	31330
30837	GL002604.1	31311	-1	30837	31311
392216	GL002604.1	393992	1	392216	393992
416657	GL002604.1	416954	1	416657	416954
442514	GL002604.1	443071	1	442514	443071
541173	GL002604.1	542095	-1	541173	542095
546502	GL002604.1	549110	1	546502	549110
559587	GL002604.1	560417	-1	559587	560417
569242	GL002604.1	570950	1	569242	570950
571420	GL002604.1	576295	-1	571420	576295
780428	GL002604.1	786706	1	780428	786706
1126373	GL002604.1	1128472	1	1126373	1128472
1327488	GL002604.1	1328244	-1	1327488	1328244
1526780	GL002604.1	1527442	-1	1526780	1527442
1613709	GL002604.1	1618156	1	1613709	1618156
1699901	GL002604.1	1700788	-1	1699901	1700788
1703364	GL002604.1	1706175	1	1703364	1706175
1707275	GL002604.1	1707703	1	1707275	1707703
1807207	GL002604.1	1822824	1	1807207	1822824
1979893	GL002604.1	1980562	1	1979893	1980562
2008303	GL002604.1	2013012	1	2008303	2013012
2193918	GL002604.1	2195667	-1	2193918	2195667
2199587	GL002604.1	2200449	-1	2199587	2200449
2211194	GL002604.1	2211594	-1	2211194	2211594
2348702	GL002604.1	2349087	-1	2348702	2349087
2352517	GL002604.1	2359239	1	2352517	2359239
2357087	GL002604.1	2367248	-1	2357087	2367248
2664755	GL002604.1	2668266	1	2664755	2668266
3208293	GL002604.1	3211306	1	3208293	3211306
3211788	GL002604.1	3212366	-1	3211788	3212366
4704120	GL002604.1	4705433	1	4704120	4705433
4706412	GL002604.1	4711195	1	4706412	4711195
4886645	GL002604.1	4886996	-1	4886645	4886996
4902102	GL002604.1	4902627	-1	4902102	4902627
5710533	GL002604.1	5712280	-1	5710533	5712280
5721018	GL002604.1	5724642	-1	5721018	5724642
5725509	GL002604.1	5727428	-1	5725509	5727428
5730827	GL002604.1	5731410	1	5730827	5731410
5991039	GL002604.1	5991932	1	5991039	5991932
5999821	GL002604.1	6000843	1	5999821	6000843
6002533	GL002604.1	6003931	1	6002533	6003931
7334652	GL002604.1	7334937	-1	7334652	7334937
7336304	GL002604.1	7336618	-1	7336304	7336618
7826462	GL002604.1	7826845	1	7826462	7826845
8272751	GL002604.1	8281617	-1	8272751	8281617
8597428	GL002604.1	8598703	-1	8597428	8598703
8719786	GL002604.1	8720612	-1	8719786	8720612
52658	GL002605.1	53633	1	52658	53633
181340	GL002605.1	182320	-1	181340	182320
253606	GL002605.1	259447	1	253606	259447
264239	GL002605.1	264868	1	264239	264868
327976	GL002605.1	332144	1	327976	332144
340722	GL002605.1	341009	-1	340722	341009
362632	GL002605.1	364064	1	362632	364064
431629	GL002605.1	433483	1	431629	433483
687618	GL002605.1	691058	-1	687618	691058
967873	GL002605.1	974159	1	967873	974159
979653	GL002605.1	982867	1	979653	982867
982905	GL002605.1	987730	-1	982905	987730
1491402	GL002605.1	1496113	1	1491402	1496113
1504100	GL002605.1	1507101	1	1504100	1507101
2727394	GL002605.1	2727541	-1	2727394	2727541
2752871	GL002605.1	2755413	-1	2752871	2755413
2755436	GL002605.1	2755992	1	2755436	2755992
2761585	GL002605.1	2768015	-1	2761585	2768015
3465946	GL002605.1	3469324	1	3465946	3469324
3552566	GL002605.1	3553089	1	3552566	3553089
3717103	GL002605.1	3717522	-1	3717103	3717522
4104904	GL002605.1	4105239	1	4104904	4105239
4113504	GL002605.1	4114495	1	4113504	4114495
4115700	GL002605.1	4116102	-1	4115700	4116102
4166735	GL002605.1	4167616	-1	4166735	4167616
4169105	GL002605.1	4178870	1	4169105	4178870
4197709	GL002605.1	4204798	1	4197709	4204798
4198805	GL002605.1	4199656	-1	4198805	4199656
