# redundant lines because of different exons.
#Chromosome/scaffold	TES	Strand
7	3093945	1
2	14834995	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
8	126774	1
5	5416548	1
4	53821757	1
4	53821757	1
1	68197132	-1
1	60486717	-1
1	60486717	-1
1	60486717	-1
3	47235641	1
3	69290343	1
5	60965513	1
5	60965513	1
5	60965513	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
3	67463535	1
7	60465724	1
1	58887359	-1
1	58887359	-1
1	58887359	-1
1	58887359	-1
7	9523532	1
4	62855486	-1
4	62855486	-1
6	49319889	1
6	49319889	1
6	49319889	1
6	49319889	1
6	49319889	1
2	69929871	1
2	69929871	1
2	69929871	1
2	69929871	1
4	5830391	-1
4	60617814	1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
10	1307612	-1
3	6676112	-1
3	6676112	-1
3	6676112	-1
3	6676112	-1
6	60983960	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
10	54998435	1
9	4993623	1
7	5831745	1
7	5831745	1
7	5831745	1
7	5831745	1
7	5831745	1
10	4469982	-1
3	1970289	1
9	56802199	-1
1	22084344	1
4	556198	1
6	48308175	1
4	64374043	-1
4	64374043	-1
8	53590921	1
5	48513122	1
2	68656511	1
3	17341409	1
6	61284059	-1
3	72589580	-1
1	71863377	-1
4	58617961	1
9	54704543	-1
9	54704543	-1
9	54704543	-1
9	54704543	-1
9	54704543	-1
9	54704543	-1
9	54704543	-1
9	54704543	-1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
3	70152320	1
5	12935465	1
5	60375425	1
1	61695744	1
2	73176024	1
5	6110229	-1
3	418286	-1
8	51174732	1
9	48287088	1
9	56589522	1
9	56589522	1
10	832969	-1
2	58668597	1
2	58668597	1
3	45564079	1
8	25505441	-1
7	60024102	-1
2	72466599	-1
1	18159646	1
3	4863305	1
7	14909717	-1
6	34258337	-1
3	54831311	1
8	54360403	-1
8	54000055	-1
3	10867768	-1
1	1775727	-1
1	1775727	-1
2	18052651	1
3	45548361	1
4	50646134	-1
5	58997326	-1
1	69111521	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
6	49402867	-1
2	23198252	1
2	23198252	1
2	23198252	1
2	23198252	1
3	2959180	-1
3	2959180	-1
2	68571587	1
10	4019958	-1
4	61490453	-1
3	64607597	1
7	6500307	1
8	5469610	1
2	61459151	1
3	9914075	-1
3	9914075	-1
3	9914075	-1
3	9914075	-1
3	9914075	-1
3	9914075	-1
1	42382380	1
3	16563060	-1
9	46749294	1
9	46749294	1
9	46749294	1
9	46749294	1
9	46749294	1
9	46749294	1
9	46749294	1
9	46749294	1
7	4208450	1
3	56143893	-1
9	51813210	1
9	51813210	1
2	57986810	-1
2	57986810	-1
1	1479213	1
1	1479213	1
1	1479213	1
1	1479213	1
1	1479213	1
1	1479213	1
1	1479213	1
1	1479213	1
1	1479213	1
1	1479213	1
4	65044009	-1
6	58531160	1
6	61849402	1
6	61849402	1
6	61849402	1
6	61849402	1
6	61849402	1
9	53934937	-1
9	58188353	1
1	21195812	-1
1	21195812	-1
8	2487742	-1
2	4287550	1
2	4287550	1
2	4287550	1
2	4287550	1
2	4287550	1
9	55551146	1
1	58948849	1
4	60470450	1
2	73761815	-1
5	639831	1
8	53985527	-1
1	1521488	-1
1	1521488	-1
1	1521488	-1
10	2961927	1
9	2789575	1
3	60807312	-1
4	6929895	1
3	9412022	1
7	7744306	-1
1	46016594	-1
4	1122048	1
4	1122048	1
4	1122048	1
4	1122048	1
3	61526173	1
7	63562976	1
5	61506610	1
5	61506610	1
8	2831878	-1
3	65667817	1
10	53048912	-1
2	60677616	-1
7	59900353	-1
1	59369690	-1
8	454432	-1
8	454432	-1
9	54168721	-1
10	59216015	-1
1	26199575	1
10	60344799	1
9	141111	1
10	1215298	-1
10	1215298	-1
10	1215298	-1
10	1215298	-1
1	71539735	1
3	59204524	-1
3	59204524	-1
3	59204524	-1
3	59204524	-1
3	59204524	-1
3	59204524	-1
3	59204524	-1
3	59204524	-1
3	59204524	-1
3	67628943	1
3	67628943	1
10	6847172	1
1	3056567	1
5	1318891	-1
1	70008541	-1
1	67538460	-1
1	67538460	-1
1	67538460	-1
1	67538460	-1
1	67538460	-1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
7	5326960	1
6	60279906	-1
4	57164547	-1
10	3240966	1
10	57175495	-1
4	57028707	-1
5	42409727	-1
4	12359949	1
7	4827142	1
6	61486167	1
4	2552675	-1
2	57157480	-1
9	519310	1
4	37948074	1
3	56993522	-1
2	70590134	-1
3	55525011	-1
5	58825295	-1
3	41148064	1
7	55340473	-1
6	61014631	-1
6	61014631	-1
6	61014631	-1
10	53761350	-1
7	3714549	-1
7	15993550	1
7	5576465	-1
10	47938400	-1
3	68617585	-1
3	68617585	-1
3	68617585	-1
3	68617585	-1
3	68617585	-1
4	37955571	-1
1	580090	-1
1	220331	1
1	220331	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
4	2141158	1
5	52258000	-1
2	67075022	1
9	56615500	1
2	521523	1
2	521523	1
2	521523	1
9	58734884	-1
3	17404833	1
6	2727713	-1
4	53762446	-1
6	7756005	-1
6	7756005	-1
6	7756005	-1
6	7756005	-1
6	7756005	-1
6	7756005	-1
6	7756005	-1
3	15840700	1
3	15840700	1
3	15840700	1
3	57333985	1
3	57333985	1
3	57333985	1
3	57333985	1
3	57333985	1
3	57333985	1
6	38142252	1
6	40195230	1
6	40195230	1
6	40195230	1
4	67136910	1
4	591721	-1
4	591721	-1
4	591721	-1
4	591721	-1
4	591721	-1
4	591721	-1
4	591721	-1
4	591721	-1
4	591721	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
10	56250690	-1
3	3525880	-1
6	57267836	1
6	57267836	1
6	57267836	1
6	57267836	1
6	57267836	1
5	25899827	1
2	50547587	-1
7	62202481	-1
5	8131143	-1
5	8131143	-1
5	8131143	-1
5	8131143	-1
9	6891436	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
8	3103416	-1
4	3606674	-1
1	62212618	1
10	13820976	1
7	60369969	1
4	63703091	-1
5	61589176	1
5	61589176	1
10	2773630	1
2	50023342	1
1	61097731	1
6	57267836	1
6	57267836	1
6	57267836	1
6	57267836	1
6	57267836	1
7	62698160	-1
7	62698160	-1
7	62698160	-1
1	5691475	1
5	1526799	-1
2	17553614	-1
1	68153076	-1
9	54643744	-1
4	7146132	-1
2	793712	-1
3	7402288	1
7	62288622	-1
10	3095587	-1
5	18195939	1
5	1867110	1
5	2075317	1
4	59841565	-1
8	40170161	1
2	69723767	1
2	69723767	1
1	62268906	-1
2	48982996	-1
2	48982996	-1
1	65373424	1
1	65373424	1
1	65373424	1
1	65373424	1
1	65373424	1
1	65373424	1
2	17362591	-1
2	17362591	-1
2	17362591	-1
2	17362591	-1
2	17362591	-1
2	17362591	-1
9	58769220	1
1	3835710	1
1	3835710	1
9	2706631	1
7	60946740	-1
1	64032673	1
1	64032673	1
1	64032673	1
1	64032673	1
1	64032673	1
1	64032673	1
1	64032673	1
1	64032673	1
1	64032673	1
1	64032673	1
1	64032673	1
3	69727391	-1
3	69727391	-1
1	64177573	-1
3	3562056	1
9	52383407	-1
9	52383407	-1
9	52383407	-1
9	52383407	-1
2	18547445	-1
2	61972668	1
3	11048159	1
3	11048159	1
8	53243517	-1
8	45634183	-1
1	16680375	1
1	16680375	1
6	61020478	-1
5	749290	1
5	749290	1
6	50172750	-1
6	50172750	-1
6	50172750	-1
1	1566669	-1
1	72213781	1
1	72213781	1
1	72213781	1
1	72213781	1
1	72213781	1
1	72213781	1
1	72213781	1
1	72213781	1
1	1547635	1
4	63793889	1
4	63793889	1
4	63793889	1
4	63793889	1
1	16635123	1
8	2013391	1
8	2013391	1
8	2013391	1
8	2013391	1
8	2013391	1
8	2013391	1
8	2013391	1
9	10455599	1
9	10455599	1
9	10455599	1
1	62735145	-1
1	62735145	-1
7	60213793	1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
2	14842815	-1
1	2535896	1
5	62209991	1
9	3834271	-1
4	9819489	-1
3	73777323	-1
7	57978651	1
5	12112744	1
5	42391413	-1
1	71842336	1
1	71842336	1
7	3577086	1
9	1802505	1
9	1802505	1
9	1802505	1
9	1802505	1
9	1802505	1
9	1802505	1
9	1802505	1
9	1802505	1
9	1802505	1
7	63982047	1
2	4532865	-1
2	4532865	-1
1	6627678	-1
8	6643055	1
8	6643055	1
8	6643055	1
8	6643055	1
8	6643055	1
8	6643055	1
8	6643055	1
8	6643055	1
6	49365012	1
1	7266148	1
1	7266148	1
5	60160902	1
3	8327615	-1
9	45521305	1
8	6017439	1
1	1840459	-1
1	1840459	-1
1	1840459	-1
1	1840459	-1
1	1840459	-1
1	1840459	-1
1	1840459	-1
1	1840459	-1
1	1840459	-1
1	1840459	-1
1	1840459	-1
10	59405854	1
10	59405854	1
10	59405854	1
10	59405854	1
9	57603025	-1
9	57603025	-1
9	57603025	-1
9	57603025	-1
9	57603025	-1
9	57603025	-1
9	57603025	-1
9	57603025	-1
2	57589528	-1
5	3085345	1
7	376832	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
4	64731088	1
1	5055498	1
1	5055498	1
4	20178925	-1
4	20178925	-1
4	62374880	1
4	62374880	1
4	62374880	1
4	62374880	1
4	62374880	1
4	62374880	1
4	62374880	1
4	62374880	1
4	62374880	1
4	62374880	1
4	62374880	1
8	51047962	1
10	5065293	1
3	3810230	-1
3	3810230	-1
1	45296273	-1
1	1362609	1
6	3396568	1
9	2772788	-1
7	10125531	-1
7	10125531	-1
7	21964479	-1
7	21964479	-1
4	63166136	-1
3	60726710	1
3	60726710	1
2	69324928	-1
7	64156918	1
2	6322329	-1
9	54474636	1
9	1730202	1
9	39230465	1
2	2119678	-1
8	4390027	1
7	63685293	1
6	61344325	1
10	59700942	1
8	11131224	1
4	6585542	1
1	25985132	1
5	61843697	-1
5	61843697	-1
1	60944643	1
9	42023844	1
1	3467032	-1
5	60938221	-1
1	51007159	-1
7	7083108	1
4	58286612	1
2	67106934	-1
4	61791017	1
5	928147	-1
5	928147	-1
9	2850173	1
4	44249834	1
4	44249834	1
